radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770776329836,2026-02-11T02:18:49.836Z,40.832521,-77.804739,308.6,8BC192AD,-117,-4,
AD864DC7,1770776289840,2026-02-11T02:18:09.840Z,40.833212,-77.803317,308.5,8BC192AD,-108,6,
AD864DC7,1770776249834,2026-02-11T02:17:29.834Z,40.835524,-77.800516,304.1,8BC192AD,-106,7.25,
AD864DC7,1770776329847,2026-02-11T02:18:49.847Z,40.832521,-77.804739,308.6,A3472DEE,-116,-4.25,
AD864DC7,1770776309836,2026-02-11T02:18:29.836Z,40.832083,-77.804862,308.5,8BC192AD,-110,3.75,
AD864DC7,1770776269832,2026-02-11T02:17:49.832Z,40.835492,-77.801581,304.1,8BC192AD,-108,6,
AD864DC7,1770776329858,2026-02-11T02:18:49.858Z,40.832521,-77.804739,308.6,54A4C7C2,-112,0.25,
AD864DC7,1770776329836,2026-02-11T02:18:49.836Z,40.832521,-77.804739,308.6,8BC192AD,-117,-4,
AD864DC7,1770776349837,2026-02-11T02:19:09.837Z,40.832222,-77.804799,308.6,A3472DEE,-116,-3,
AD864DC7,1770776289840,2026-02-11T02:18:09.840Z,40.833212,-77.803317,308.5,8BC192AD,-108,6,
AD864DC7,1770776329847,2026-02-11T02:18:49.847Z,40.832521,-77.804739,308.6,A3472DEE,-116,-4.25,
AD864DC7,1770776349848,2026-02-11T02:19:09.848Z,40.832222,-77.804799,308.6,54A4C7C2,-112,0.25,
AD864DC7,1770776309836,2026-02-11T02:18:29.836Z,40.832083,-77.804862,308.5,8BC192AD,-110,3.75,
AD864DC7,1770776329858,2026-02-11T02:18:49.858Z,40.832521,-77.804739,308.6,54A4C7C2,-112,0.25,
AD864DC7,1770776349857,2026-02-11T02:19:09.857Z,40.832222,-77.804799,308.6,8BC192AD,-117,-4,
AD864DC7,1770776329836,2026-02-11T02:18:49.836Z,40.832521,-77.804739,308.6,8BC192AD,-117,-4,
AD864DC7,1770776349837,2026-02-11T02:19:09.837Z,40.832222,-77.804799,308.6,A3472DEE,-116,-3,
AD864DC7,1770776369832,2026-02-11T02:19:29.832Z,40.832229,-77.804796,308.5,A3472DEE,-116,-3,
AD864DC7,1770776329847,2026-02-11T02:18:49.847Z,40.832521,-77.804739,308.6,A3472DEE,-116,-4.25,
AD864DC7,1770776349848,2026-02-11T02:19:09.848Z,40.832222,-77.804799,308.6,54A4C7C2,-112,0.25,
