radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770777669846,2026-02-11T02:41:09.846Z,40.832679,-77.804017,308.5,A3472DEE,-115,-0.5,
AD864DC7,1770777689841,2026-02-11T02:41:29.841Z,40.832679,-77.804017,308.5,A3472DEE,-115,-1.5,
AD864DC7,1770777709842,2026-02-11T02:41:49.842Z,40.832679,-77.804017,308.5,A3472DEE,-115,-1.5,
AD864DC7,1770777709844,2026-02-11T02:41:49.844Z,40.832679,-77.804017,308.5,8BC192AD,-118,-4.5,
AD864DC7,1770777729842,2026-02-11T02:42:09.842Z,40.832679,-77.804017,308.5,8BC192AD,-115,-0.75,
AD864DC7,1770777749842,2026-02-11T02:42:29.842Z,40.832679,-77.804017,308.5,8BC192AD,-115,-0.75,
AD864DC7,1770777749844,2026-02-11T02:42:29.844Z,40.832679,-77.804017,308.5,A3472DEE,-117,-4.25,
AD864DC7,1770777769841,2026-02-11T02:42:49.841Z,40.832679,-77.804017,308.5,A3472DEE,-117,-3.5,
AD864DC7,1770777769843,2026-02-11T02:42:49.843Z,40.832679,-77.804017,308.5,8BC192AD,-111,2.75,
AD864DC7,1770777789842,2026-02-11T02:43:09.842Z,40.832679,-77.804016,308.5,A3472DEE,-117,-3.5,
AD864DC7,1770777789844,2026-02-11T02:43:09.844Z,40.832679,-77.804016,308.5,8BC192AD,-111,2.75,
AD864DC7,1770777809841,2026-02-11T02:43:29.841Z,40.832680,-77.804016,308.5,8BC192AD,-113,1.25,
AD864DC7,1770777829841,2026-02-11T02:43:49.841Z,40.832679,-77.804017,308.5,8BC192AD,-113,1.25,
AD864DC7,1770777849841,2026-02-11T02:44:09.841Z,40.832679,-77.804017,308.5,A3472DEE,-116,-3,
AD864DC7,1770777869841,2026-02-11T02:44:29.841Z,40.832679,-77.804017,308.5,A3472DEE,-116,-3,
AD864DC7,1770777869843,2026-02-11T02:44:29.843Z,40.832679,-77.804017,308.5,8BC192AD,-113,-0.5,
AD864DC7,1770777889841,2026-02-11T02:44:49.841Z,40.832680,-77.804017,308.5,A3472DEE,-116,-3,
AD864DC7,1770777889843,2026-02-11T02:44:49.843Z,40.832680,-77.804017,308.5,8BC192AD,-113,-0.5,
AD864DC7,1770777909845,2026-02-11T02:45:09.845Z,40.832680,-77.804017,308.5,A3472DEE,-117,-2.75,
AD864DC7,1770777929845,2026-02-11T02:45:29.845Z,40.832679,-77.804018,308.5,A3472DEE,-117,-2.75,
