radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770778249842,2026-02-11T02:50:49.842Z,40.832680,-77.804017,308.5,8BC192AD,-113,0.5,
AD864DC7,1770778249844,2026-02-11T02:50:49.844Z,40.832680,-77.804017,308.5,A3472DEE,-117,-3.25,
AD864DC7,1770778269846,2026-02-11T02:51:09.846Z,40.832681,-77.804017,308.5,8BC192AD,-113,0.5,
AD864DC7,1770778289840,2026-02-11T02:51:29.840Z,40.832681,-77.804017,308.5,A3472DEE,-117,-3.5,
AD864DC7,1770778309846,2026-02-11T02:51:49.846Z,40.832681,-77.804017,308.4,A3472DEE,-117,-3.25,
AD864DC7,1770778329841,2026-02-11T02:52:09.841Z,40.832681,-77.804017,308.5,A3472DEE,-117,-3.25,
AD864DC7,1770778329842,2026-02-11T02:52:09.842Z,40.832681,-77.804017,308.5,8BC192AD,-117,-3.75,
AD864DC7,1770778349842,2026-02-11T02:52:29.842Z,40.832681,-77.804017,308.5,8BC192AD,-117,-3.75,
AD864DC7,1770778429837,2026-02-11T02:53:49.837Z,40.832680,-77.804016,308.5,A3472DEE,-117,-3,
AD864DC7,1770778449842,2026-02-11T02:54:09.842Z,40.832680,-77.804016,308.5,A3472DEE,-117,-3,
AD864DC7,1770778469835,2026-02-11T02:54:29.835Z,40.832680,-77.804016,308.5,8BC192AD,-111,1.5,
AD864DC7,1770778489845,2026-02-11T02:54:49.845Z,40.832680,-77.804016,308.5,8BC192AD,-113,0,
AD864DC7,1770778489847,2026-02-11T02:54:49.847Z,40.832680,-77.804016,308.5,A3472DEE,-117,-3.5,
AD864DC7,1770778509845,2026-02-11T02:55:09.845Z,40.832680,-77.804016,308.4,8BC192AD,-113,0,
AD864DC7,1770778509847,2026-02-11T02:55:09.847Z,40.832680,-77.804016,308.4,A3472DEE,-117,-3.5,
AD864DC7,1770778529842,2026-02-11T02:55:29.842Z,40.832680,-77.804016,307.4,8BC192AD,-120,-6,
AD864DC7,1770778529844,2026-02-11T02:55:29.844Z,40.832680,-77.804016,307.4,A3472DEE,-117,-3.5,
AD864DC7,1770778549842,2026-02-11T02:55:49.842Z,40.832680,-77.804016,308.5,8BC192AD,-122,-8,
AD864DC7,1770778549844,2026-02-11T02:55:49.844Z,40.832680,-77.804016,308.5,A3472DEE,-117,-2.5,
AD864DC7,1770778569846,2026-02-11T02:56:09.846Z,40.832680,-77.804016,308.4,8BC192AD,-111,2.25,
