radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770776429841,2026-02-11T02:20:29.841Z,40.832228,-77.804795,308.6,A3472DEE,-115,-3,
AD864DC7,1770776629835,2026-02-11T02:23:49.835Z,40.832681,-77.804017,308.5,8BC192AD,-118,-4.75,
AD864DC7,1770776569845,2026-02-11T02:22:49.845Z,40.832682,-77.804017,308.5,A3472DEE,-117,-3.75,
AD864DC7,1770776449833,2026-02-11T02:20:49.833Z,40.832117,-77.804561,308.6,8BC192AD,-99,8,
AD864DC7,1770776629846,2026-02-11T02:23:49.846Z,40.832681,-77.804017,308.5,A3472DEE,-116,-2.5,
AD864DC7,1770776589838,2026-02-11T02:23:09.838Z,40.832682,-77.804017,308.5,8BC192AD,-113,0.25,
AD864DC7,1770776469835,2026-02-11T02:21:09.835Z,40.832105,-77.804551,308.7,8BC192AD,-103,4.75,
AD864DC7,1770776649835,2026-02-11T02:24:09.835Z,40.832681,-77.804017,308.5,A3472DEE,-116,-2.5,
AD864DC7,1770776589848,2026-02-11T02:23:09.848Z,40.832682,-77.804017,308.5,A3472DEE,-116,-3.25,
AD864DC7,1770776489836,2026-02-11T02:21:29.836Z,40.832105,-77.804550,308.5,8BC192AD,-112,0.75,
AD864DC7,1770776649846,2026-02-11T02:24:09.846Z,40.832681,-77.804017,308.5,54A4C7C2,-112,1.25,
AD864DC7,1770776609834,2026-02-11T02:23:29.834Z,40.832681,-77.804017,308.5,A3472DEE,-116,-2.25,
AD864DC7,1770776509834,2026-02-11T02:21:49.834Z,40.832038,-77.804355,308.5,8BC192AD,-112,0.75,
AD864DC7,1770776669835,2026-02-11T02:24:29.835Z,40.832681,-77.804017,308.5,54A4C7C2,-112,1.25,
AD864DC7,1770776609843,2026-02-11T02:23:29.843Z,40.832681,-77.804017,308.5,8BC192AD,-118,-4.75,
AD864DC7,1770776569834,2026-02-11T02:22:49.834Z,40.832682,-77.804017,308.5,8BC192AD,-113,0.25,
AD864DC7,1770776689836,2026-02-11T02:24:49.836Z,40.832681,-77.804017,308.5,A3472DEE,-115,-1.75,
AD864DC7,1770776629835,2026-02-11T02:23:49.835Z,40.832681,-77.804017,308.5,8BC192AD,-118,-4.75,
AD864DC7,1770776569845,2026-02-11T02:22:49.845Z,40.832682,-77.804017,308.5,A3472DEE,-117,-3.75,
AD864DC7,1770776689846,2026-02-11T02:24:49.846Z,40.832681,-77.804017,308.5,54A4C7C2,-118,-5.25,
AD864DC7,1770776629846,2026-02-11T02:23:49.846Z,40.832681,-77.804017,308.5,A3472DEE,-116,-2.5,
