radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770777029851,2026-02-11T02:30:29.851Z,40.832679,-77.804018,308.5,A3472DEE,-117,-3.5,
AD864DC7,1770777049845,2026-02-11T02:30:49.845Z,40.832679,-77.804018,308.4,A3472DEE,-116,-2.5,
AD864DC7,1770777049846,2026-02-11T02:30:49.846Z,40.832679,-77.804018,308.4,8BC192AD,-116,-2.25,
AD864DC7,1770777069841,2026-02-11T02:31:09.841Z,40.832679,-77.804018,308.5,A3472DEE,-116,-2.5,
AD864DC7,1770777069844,2026-02-11T02:31:09.844Z,40.832679,-77.804018,308.5,8BC192AD,-113,-2.5,
AD864DC7,1770777089844,2026-02-11T02:31:29.844Z,40.832679,-77.804017,308.5,8BC192AD,-113,-2.5,
AD864DC7,1770777109841,2026-02-11T02:31:49.841Z,40.832679,-77.804017,308.5,A3472DEE,-115,-1.5,
AD864DC7,1770777129841,2026-02-11T02:32:09.841Z,40.832679,-77.804017,308.5,A3472DEE,-116,-2.5,
AD864DC7,1770777129843,2026-02-11T02:32:09.843Z,40.832679,-77.804017,308.5,8BC192AD,-120,-7.25,
AD864DC7,1770777149844,2026-02-11T02:32:29.844Z,40.832679,-77.804017,308.5,8BC192AD,-114,-0.75,
AD864DC7,1770777149847,2026-02-11T02:32:29.847Z,40.832679,-77.804017,308.5,A3472DEE,-116,-2.5,
AD864DC7,1770777169845,2026-02-11T02:32:49.845Z,40.832679,-77.804017,308.5,8BC192AD,-108,4.5,
AD864DC7,1770777169847,2026-02-11T02:32:49.847Z,40.832679,-77.804017,308.5,A3472DEE,-117,-3.25,
AD864DC7,1770777169853,2026-02-11T02:32:49.853Z,40.832679,-77.804017,308.5,54A4C7C2,-111,2.5,
AD864DC7,1770777189842,2026-02-11T02:33:09.842Z,40.832679,-77.804017,308.5,A3472DEE,-116,-2.75,
AD864DC7,1770777189844,2026-02-11T02:33:09.844Z,40.832679,-77.804017,308.5,54A4C7C2,-111,2.5,
AD864DC7,1770777189852,2026-02-11T02:33:09.852Z,40.832679,-77.804017,308.5,8BC192AD,-114,-0.25,
AD864DC7,1770777209840,2026-02-11T02:33:29.840Z,40.832678,-77.804017,308.5,A3472DEE,-117,-2.75,
AD864DC7,1770777209842,2026-02-11T02:33:29.842Z,40.832678,-77.804017,308.5,8BC192AD,-116,-2,
AD864DC7,1770777229847,2026-02-11T02:33:49.847Z,40.832679,-77.804017,308.6,8BC192AD,-116,-2,
