radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770776869844,2026-02-11T02:27:49.844Z,40.832681,-77.804018,308.6,8BC192AD,-118,-4.25,
AD864DC7,1770776849844,2026-02-11T02:27:29.844Z,40.832681,-77.804018,308.5,54A4C7C2,-112,1,
AD864DC7,1770776769834,2026-02-11T02:26:09.834Z,40.832681,-77.804017,308.5,8BC192AD,-120,-6.5,
AD864DC7,1770776889834,2026-02-11T02:28:09.834Z,40.832681,-77.804018,308.5,A3472DEE,-117,-3.25,
AD864DC7,1770776849854,2026-02-11T02:27:29.854Z,40.832681,-77.804018,308.5,A3472DEE,-117,-4.5,
AD864DC7,1770776769845,2026-02-11T02:26:09.845Z,40.832681,-77.804017,308.5,A3472DEE,-116,-2.25,
AD864DC7,1770776889843,2026-02-11T02:28:09.843Z,40.832681,-77.804018,308.5,8BC192AD,-112,0,
AD864DC7,1770776869835,2026-02-11T02:27:49.835Z,40.832681,-77.804018,308.6,A3472DEE,-117,-3.25,
AD864DC7,1770776769854,2026-02-11T02:26:09.854Z,40.832681,-77.804017,308.5,54A4C7C2,-110,3.75,
AD864DC7,1770776869844,2026-02-11T02:27:49.844Z,40.832681,-77.804018,308.6,8BC192AD,-118,-4.25,
AD864DC7,1770776789836,2026-02-11T02:26:29.836Z,40.832681,-77.804018,308.5,8BC192AD,-120,-7.25,
AD864DC7,1770776889834,2026-02-11T02:28:09.834Z,40.832681,-77.804018,308.5,A3472DEE,-117,-3.25,
AD864DC7,1770776809835,2026-02-11T02:26:49.835Z,40.832681,-77.804018,308.5,8BC192AD,-116,-2.25,
AD864DC7,1770776889843,2026-02-11T02:28:09.843Z,40.832681,-77.804018,308.5,8BC192AD,-112,0,
AD864DC7,1770776809845,2026-02-11T02:26:49.845Z,40.832681,-77.804018,308.5,A3472DEE,-116,-2.25,
AD864DC7,1770776829837,2026-02-11T02:27:09.837Z,40.832681,-77.804018,308.5,A3472DEE,-117,-2.75,
AD864DC7,1770776829852,2026-02-11T02:27:09.852Z,40.832681,-77.804018,308.5,8BC192AD,-112,0.75,
AD864DC7,1770776829862,2026-02-11T02:27:09.862Z,40.832681,-77.804018,308.5,54A4C7C2,-112,1,
AD864DC7,1770776849834,2026-02-11T02:27:29.834Z,40.832681,-77.804018,308.5,8BC192AD,-118,-4.25,
AD864DC7,1770776849844,2026-02-11T02:27:29.844Z,40.832681,-77.804018,308.5,54A4C7C2,-112,1,
