radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770770748136,2026-02-11T00:45:48.136Z,40.756140,-77.869719,365.0,8BC192AD,-119,-3,
AD864DC7,1770770769136,2026-02-11T00:46:09.136Z,40.756140,-77.869719,365.0,8BC192AD,-119,-2.25,
AD864DC7,1770770789123,2026-02-11T00:46:29.123Z,40.756140,-77.869719,365.0,8BC192AD,-119,-3,
AD864DC7,1770770808251,2026-02-11T00:46:48.251Z,40.756140,-77.869719,365.0,8BC192AD,-119,-3,
AD864DC7,1770770907526,2026-02-11T00:48:27.526Z,40.756140,-77.869719,365.0,8BC192AD,-115,1,
AD864DC7,1770770927595,2026-02-11T00:48:47.595Z,40.756140,-77.869719,365.0,8BC192AD,-115,1,
AD864DC7,1770772443111,2026-02-11T01:14:03.111Z,40.756140,-77.869719,365.0,8BC192AD,-119,-3.25,
AD864DC7,1770772483131,2026-02-11T01:14:43.131Z,40.756140,-77.869719,365.0,8BC192AD,-121,-4.5,
AD864DC7,1770772644127,2026-02-11T01:17:24.127Z,40.756140,-77.869719,365.0,8BC192AD,-120,-3.75,
AD864DC7,1770772684126,2026-02-11T01:18:04.126Z,40.756140,-77.869719,365.0,8BC192AD,-120,-3.75,
AD864DC7,1770772723995,2026-02-11T01:18:43.995Z,40.756140,-77.869719,365.0,8BC192AD,-120,-4.25,
AD864DC7,1770772763318,2026-02-11T01:19:23.318Z,40.756140,-77.869719,365.0,8BC192AD,-120,-4.25,
AD864DC7,1770772789627,2026-02-11T01:19:49.627Z,40.756140,-77.869719,365.0,8BC192AD,-117,-0.75,
AD864DC7,1770773274978,2026-02-11T01:27:54.978Z,40.808257,-77.896046,335.5,8BC192AD,-102,8.5,
AD864DC7,1770773289166,2026-02-11T01:28:09.166Z,40.808257,-77.896047,335.5,8BC192AD,-102,8.5,
AD864DC7,1770773289183,2026-02-11T01:28:09.183Z,40.808257,-77.896047,335.5,8BC192AD,-102,8.5,
AD864DC7,1770773289205,2026-02-11T01:28:09.205Z,40.808257,-77.896047,335.5,8BC192AD,-102,8.5,
AD864DC7,1770773289219,2026-02-11T01:28:09.219Z,40.808257,-77.896047,335.5,8BC192AD,-102,8.5,
AD864DC7,1770773289245,2026-02-11T01:28:09.245Z,40.808257,-77.896047,335.5,8BC192AD,-102,8.5,
AD864DC7,1770773289272,2026-02-11T01:28:09.272Z,40.808257,-77.896047,335.5,8BC192AD,-102,8.5,
