radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770777469846,2026-02-11T02:37:49.846Z,40.832679,-77.804018,308.5,8BC192AD,-109,3.25,
AD864DC7,1770777489841,2026-02-11T02:38:09.841Z,40.832679,-77.804018,308.5,8BC192AD,-109,3.25,
AD864DC7,1770777489843,2026-02-11T02:38:09.843Z,40.832679,-77.804018,308.5,A3472DEE,-117,-2.5,
AD864DC7,1770777509842,2026-02-11T02:38:29.842Z,40.832679,-77.804018,308.5,A3472DEE,-117,-2.5,
AD864DC7,1770777509844,2026-02-11T02:38:29.844Z,40.832679,-77.804018,308.5,54A4C7C2,-113,0.5,
AD864DC7,1770777529845,2026-02-11T02:38:49.845Z,40.832679,-77.804018,308.5,54A4C7C2,-113,0.5,
AD864DC7,1770777529846,2026-02-11T02:38:49.846Z,40.832679,-77.804018,308.5,8BC192AD,-117,-4.25,
AD864DC7,1770777549841,2026-02-11T02:39:09.841Z,40.832679,-77.804018,308.5,8BC192AD,-117,-4.25,
AD864DC7,1770777549844,2026-02-11T02:39:09.844Z,40.832679,-77.804018,308.5,A3472DEE,-117,-2.75,
AD864DC7,1770777569842,2026-02-11T02:39:29.842Z,40.832679,-77.804018,308.5,A3472DEE,-116,-2.25,
AD864DC7,1770777569844,2026-02-11T02:39:29.844Z,40.832679,-77.804018,308.5,8BC192AD,-110,4.25,
AD864DC7,1770777589843,2026-02-11T02:39:49.843Z,40.832679,-77.804018,308.5,A3472DEE,-117,-4.5,
AD864DC7,1770777589846,2026-02-11T02:39:49.846Z,40.832679,-77.804018,308.5,8BC192AD,-117,-2.75,
AD864DC7,1770777609845,2026-02-11T02:40:09.845Z,40.832679,-77.804018,308.5,8BC192AD,-112,2.25,
AD864DC7,1770777609849,2026-02-11T02:40:09.849Z,40.832679,-77.804018,308.5,A3472DEE,-117,-2.5,
AD864DC7,1770777629842,2026-02-11T02:40:29.842Z,40.832679,-77.804018,308.5,A3472DEE,-117,-2.5,
AD864DC7,1770777629844,2026-02-11T02:40:29.844Z,40.832679,-77.804018,308.5,8BC192AD,-112,1,
AD864DC7,1770777649837,2026-02-11T02:40:49.837Z,40.832679,-77.804017,308.4,8BC192AD,-112,1,
AD864DC7,1770777649839,2026-02-11T02:40:49.839Z,40.832679,-77.804017,308.4,54A4C7C2,-114,0.25,
AD864DC7,1770777669841,2026-02-11T02:41:09.841Z,40.832679,-77.804017,308.5,54A4C7C2,-114,0.25,
