radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770776849854,2026-02-11T02:27:29.854Z,40.832681,-77.804018,308.5,A3472DEE,-117,-4.5,
AD864DC7,1770776869835,2026-02-11T02:27:49.835Z,40.832681,-77.804018,308.6,A3472DEE,-117,-3.25,
AD864DC7,1770776869844,2026-02-11T02:27:49.844Z,40.832681,-77.804018,308.6,8BC192AD,-118,-4.25,
AD864DC7,1770776889834,2026-02-11T02:28:09.834Z,40.832681,-77.804018,308.5,A3472DEE,-117,-3.25,
AD864DC7,1770776889843,2026-02-11T02:28:09.843Z,40.832681,-77.804018,308.5,8BC192AD,-112,0,
AD864DC7,1770776909833,2026-02-11T02:28:29.833Z,40.832681,-77.804018,308.5,8BC192AD,-112,0,
AD864DC7,1770776909835,2026-02-11T02:28:29.835Z,40.832681,-77.804018,308.5,54A4C7C2,-113,1,
AD864DC7,1770776929837,2026-02-11T02:28:49.837Z,40.832680,-77.804018,308.5,54A4C7C2,-113,1,
AD864DC7,1770776929838,2026-02-11T02:28:49.838Z,40.832680,-77.804018,308.5,8BC192AD,-116,-1.25,
AD864DC7,1770776929844,2026-02-11T02:28:49.844Z,40.832680,-77.804018,308.5,A3472DEE,-117,-3.25,
AD864DC7,1770776949828,2026-02-11T02:29:09.828Z,40.832680,-77.804018,308.5,8BC192AD,-116,-1.25,
AD864DC7,1770776949833,2026-02-11T02:29:09.833Z,40.832680,-77.804018,308.5,A3472DEE,-117,-5.75,
AD864DC7,1770776949838,2026-02-11T02:29:09.838Z,40.832680,-77.804018,308.5,54A4C7C2,-110,3.5,
AD864DC7,1770776969837,2026-02-11T02:29:29.837Z,40.832680,-77.804018,308.5,A3472DEE,-117,-5.75,
AD864DC7,1770776969838,2026-02-11T02:29:29.838Z,40.832680,-77.804018,308.5,54A4C7C2,-110,3.5,
AD864DC7,1770776989842,2026-02-11T02:29:49.842Z,40.832680,-77.804018,308.5,8BC192AD,-115,-0.75,
AD864DC7,1770777009846,2026-02-11T02:30:09.846Z,40.832680,-77.804018,308.5,8BC192AD,-114,-4.25,
AD864DC7,1770777009848,2026-02-11T02:30:09.848Z,40.832680,-77.804018,308.5,54A4C7C2,-118,-4.75,
AD864DC7,1770777029843,2026-02-11T02:30:29.843Z,40.832679,-77.804018,308.5,8BC192AD,-116,-2.25,
AD864DC7,1770777029845,2026-02-11T02:30:29.845Z,40.832679,-77.804018,308.5,54A4C7C2,-118,-4.75,
