radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770773377641,2026-02-11T01:29:37.641Z,40.808249,-77.896078,332.5,8BC192AD,-102,8,
AD864DC7,1770773397636,2026-02-11T01:29:57.636Z,40.808358,-77.895529,332.5,8BC192AD,-102,8,
AD864DC7,1770773417641,2026-02-11T01:30:17.641Z,40.809023,-77.895348,332.5,8BC192AD,-106,2.25,
AD864DC7,1770773437630,2026-02-11T01:30:37.630Z,40.808718,-77.895135,332.7,8BC192AD,-105,6.75,
AD864DC7,1770773457628,2026-02-11T01:30:57.628Z,40.808473,-77.895243,332.7,8BC192AD,-100,5.25,
AD864DC7,1770773477621,2026-02-11T01:31:17.621Z,40.807727,-77.894114,332.7,8BC192AD,-100,5.25,
AD864DC7,1770773497627,2026-02-11T01:31:37.627Z,40.807119,-77.891297,325.2,8BC192AD,-113,-1,
AD864DC7,1770773497629,2026-02-11T01:31:37.629Z,40.807119,-77.891297,325.2,54A4C7C2,-110,1.25,
AD864DC7,1770773497633,2026-02-11T01:31:37.633Z,40.807119,-77.891297,325.2,A3472DEE,-106,4.75,
AD864DC7,1770773517627,2026-02-11T01:31:57.627Z,40.805839,-77.888504,325.2,8BC192AD,-102,9.5,
AD864DC7,1770773517629,2026-02-11T01:31:57.629Z,40.805839,-77.888504,325.2,54A4C7C2,-110,1.25,
AD864DC7,1770773517632,2026-02-11T01:31:57.632Z,40.805839,-77.888504,325.2,A3472DEE,-106,4.75,
AD864DC7,1770773537624,2026-02-11T01:32:17.624Z,40.805143,-77.887198,325.2,8BC192AD,-102,9.5,
AD864DC7,1770773557624,2026-02-11T01:32:37.624Z,40.803596,-77.884301,325.2,54A4C7C2,-108,5.5,
AD864DC7,1770773577624,2026-02-11T01:32:57.624Z,40.801678,-77.880700,333.4,54A4C7C2,-108,5.5,
AD864DC7,1770773597623,2026-02-11T01:33:17.623Z,40.799993,-77.877546,333.4,AAABEBB3,-111,4.75,
AD864DC7,1770773617625,2026-02-11T01:33:37.625Z,40.798842,-77.875734,333.4,AAABEBB3,-111,4.75,
AD864DC7,1770773617627,2026-02-11T01:33:37.627Z,40.798842,-77.875734,333.4,54A4C7C2,-100,9.75,
AD864DC7,1770773617630,2026-02-11T01:33:37.630Z,40.798842,-77.875734,333.4,8BC192AD,-112,3.75,
AD864DC7,1770773637623,2026-02-11T01:33:57.623Z,40.798830,-77.875734,336.2,54A4C7C2,-100,9.75,
