radioId,timestamp,datetime_utc,latitude,longitude,altitude,nodeId,rssi,snr,hopLimit
AD864DC7,1770774257635,2026-02-11T01:44:17.635Z,40.796922,-77.858322,307.6,8BC192AD,-106,0.25,
AD864DC7,1770774297635,2026-02-11T01:44:57.635Z,40.796921,-77.858322,306.4,8BC192AD,-109,-4.5,
AD864DC7,1770774237634,2026-02-11T01:43:57.634Z,40.796922,-77.858321,307.7,8BC192AD,-105,-3.5,
AD864DC7,1770774277635,2026-02-11T01:44:37.635Z,40.796921,-77.858322,307.4,8BC192AD,-109,-4.5,
AD864DC7,1770774337624,2026-02-11T01:45:37.624Z,40.796921,-77.858322,306.4,8BC192AD,-106,-8.75,
AD864DC7,1770774257635,2026-02-11T01:44:17.635Z,40.796922,-77.858322,307.6,8BC192AD,-106,0.25,
AD864DC7,1770774297635,2026-02-11T01:44:57.635Z,40.796921,-77.858322,306.4,8BC192AD,-109,-4.5,
AD864DC7,1770774357631,2026-02-11T01:45:57.631Z,40.796920,-77.858322,306.4,8BC192AD,-105,-2.5,
AD864DC7,1770774277635,2026-02-11T01:44:37.635Z,40.796921,-77.858322,307.4,8BC192AD,-109,-4.5,
AD864DC7,1770774337624,2026-02-11T01:45:37.624Z,40.796921,-77.858322,306.4,8BC192AD,-106,-8.75,
AD864DC7,1770774377629,2026-02-11T01:46:17.629Z,40.796919,-77.858322,308.9,8BC192AD,-105,-2.5,
AD864DC7,1770774297635,2026-02-11T01:44:57.635Z,40.796921,-77.858322,306.4,8BC192AD,-109,-4.5,
AD864DC7,1770774357631,2026-02-11T01:45:57.631Z,40.796920,-77.858322,306.4,8BC192AD,-105,-2.5,
AD864DC7,1770774477628,2026-02-11T01:47:57.628Z,40.797174,-77.855345,302.2,8BC192AD,-94,8.5,
AD864DC7,1770774337624,2026-02-11T01:45:37.624Z,40.796921,-77.858322,306.4,8BC192AD,-106,-8.75,
AD864DC7,1770774377629,2026-02-11T01:46:17.629Z,40.796919,-77.858322,308.9,8BC192AD,-105,-2.5,
AD864DC7,1770774497626,2026-02-11T01:48:17.626Z,40.798965,-77.852964,302.2,8BC192AD,-107,1.75,
AD864DC7,1770774357631,2026-02-11T01:45:57.631Z,40.796920,-77.858322,306.4,8BC192AD,-105,-2.5,
AD864DC7,1770774477628,2026-02-11T01:47:57.628Z,40.797174,-77.855345,302.2,8BC192AD,-94,8.5,
AD864DC7,1770774517625,2026-02-11T01:48:37.625Z,40.800406,-77.853600,302.2,8BC192AD,-97,3,
AD864DC7,1770774377629,2026-02-11T01:46:17.629Z,40.796919,-77.858322,308.9,8BC192AD,-105,-2.5,
AD864DC7,1770774497626,2026-02-11T01:48:17.626Z,40.798965,-77.852964,302.2,8BC192AD,-107,1.75,
AD864DC7,1770774537626,2026-02-11T01:48:57.626Z,40.802138,-77.851140,302.2,8BC192AD,-97,3,
AD864DC7,1770774517625,2026-02-11T01:48:37.625Z,40.800406,-77.853600,302.2,8BC192AD,-97,3,
